rf_train_pct,n_train,n_val,macro_f1
0.2,52721,79083,0.778119754669566
0.22,57993,79083,0.7831357787257449
0.24,63266,79083,0.7870904121006619
0.26,68539,79083,0.8030638666309289
0.27999999999999997,73809,79083,0.7674051709561276
0.29999999999999993,79082,79083,0.7563132660164148
0.31999999999999995,84355,79083,0.7532940042612457
0.33999999999999997,89627,79083,0.74888391022732
0.35999999999999993,94898,79083,0.7484984866285871
0.3799999999999999,100172,79083,0.7484375418989951
0.3999999999999999,105444,79083,0.7488566617439403
0.41999999999999993,110717,79083,0.7486769145603888
0.4399999999999999,115988,79083,0.7494868810634724
0.4599999999999999,121261,79083,0.7522643428477441
0.47999999999999987,126534,79083,0.7531291106717075
0.49999999999999983,131804,79083,0.7529555477538562
0.5199999999999998,137078,79083,0.7545718506470998
0.5399999999999998,142351,79083,0.7539007891840667
0.5599999999999998,147624,79083,0.754662554028388
0.5799999999999998,152895,79083,0.7556522061817524
0.5999999999999999,158168,79083,0.908877322129803
0.6199999999999999,163440,79083,0.9471115480007238
0.6399999999999998,168714,79083,0.9501856478660452
0.6599999999999997,173985,79083,0.9503706684192272
0.6799999999999997,179257,79083,0.9512874525244462
0.6999999999999997,184530,79083,0.9508042383422152
