rf_train_pct,n_train,n_val,macro_f1
0.22,5272,79083,0.8798036835370634
0.24,10545,79083,0.9117690179803092
0.26,15818,79083,0.9236950628040791
0.27999999999999997,21088,79083,0.9660945309498626
0.29999999999999993,26361,79083,0.9665526362618178
0.31999999999999995,31634,79083,0.9670856097601689
0.33999999999999997,36906,79083,0.968276558350489
0.35999999999999993,42177,79083,0.9662229163345321
0.3799999999999999,47451,79083,0.9653687618997621
0.3999999999999999,52723,79083,0.9626078645671223
0.41999999999999993,57996,79083,0.9633749738694356
0.4399999999999999,63267,79083,0.958792603822797
0.4599999999999999,68540,79083,0.9561347803044765
0.47999999999999987,73813,79083,0.9529662468241223
0.49999999999999983,79083,79083,0.9501336874589624
0.5199999999999998,84357,79083,0.947676439884616
0.5399999999999998,89630,79083,0.9477055729553416
0.5599999999999998,94903,79083,0.9439997777483878
0.5799999999999998,100174,79083,0.9449617066091277
0.5999999999999999,105447,79083,0.9403415895251699
0.6199999999999999,110719,79083,0.966958453587299
0.6399999999999998,115993,79083,0.9768546442131099
0.6599999999999997,121264,79083,0.9780752637340423
0.6799999999999997,126536,79083,0.9788878489035125
0.6999999999999997,131809,79083,0.9789366153902573
