rf_train_pct,n_train,n_val,macro_f1
0.02,5269,79083,0.6960619474831911
0.04,10542,79083,0.7272338271366955
0.06,15814,79083,0.799993568569411
0.08,21087,79083,0.8415179197266994
0.1,26359,79083,0.7612596434903026
0.12000000000000001,31631,79083,0.7503770460582135
0.13999999999999999,36903,79083,0.7481991488583547
0.16,42177,79083,0.7571042555745272
0.18,47448,79083,0.765234913852739
0.19999999999999998,52720,79083,0.7780168115495754
0.22,57993,79083,0.7831357787257449
0.24,63266,79083,0.7870904121006619
0.26,68539,79083,0.8030638666309289
0.28,73810,79083,0.7663732003158185
0.30000000000000004,79083,79083,0.7542227316750717
0.32,84356,79083,0.7516085947681604
0.34,89628,79083,0.7493776804358635
0.36000000000000004,94899,79083,0.7479339714718772
0.38,100173,79083,0.7466834802373716
0.4,105445,79083,0.748978533185411
0.42000000000000004,110718,79083,0.749387782629165
0.44,115989,79083,0.7501379534159817
0.46,121262,79083,0.7524277840081514
0.48000000000000004,126535,79083,0.7527293940212122
0.5,131809,79083,0.7540314264757246
0.52,137079,79083,0.7534280031516188
0.54,142352,79083,0.754680449444397
0.56,147625,79083,0.7558259835385593
0.5800000000000001,152896,79083,0.756223214060463
0.6,158169,79083,0.9118797367552679
0.62,163441,79083,0.946994957872487
0.64,168715,79083,0.9492711689539277
0.66,173986,79083,0.9498603638942499
0.68,179258,79083,0.9501508245631313
0.7000000000000001,184531,79083,0.9503793999431608
