rf_train_pct,n_train,n_val,macro_f1
0.22,5272,79083,0.7170823164538335
0.24,10545,79083,0.8083114241938526
0.26,15818,79083,0.8468063858047558
0.27999999999999997,21088,79083,0.7343756939338528
0.29999999999999993,26361,79083,0.7322795259958815
0.31999999999999995,31634,79083,0.7380974817108898
0.33999999999999997,36906,79083,0.7391727917203379
0.35999999999999993,42177,79083,0.7405037740382413
0.3799999999999999,47451,79083,0.7423857775807153
0.3999999999999999,52723,79083,0.7466558105369997
0.41999999999999993,57996,79083,0.7454961172570951
0.4399999999999999,63267,79083,0.7453401451081259
0.4599999999999999,68540,79083,0.7477843636803533
0.47999999999999987,73813,79083,0.748605319103708
0.49999999999999983,79083,79083,0.7501732390996404
0.5199999999999998,84357,79083,0.7495486466024092
0.5399999999999998,89630,79083,0.7500173653051521
0.5599999999999998,94903,79083,0.7510113446743657
0.5799999999999998,100174,79083,0.7506521205806982
0.5999999999999999,105447,79083,0.9063424283970116
0.6199999999999999,110719,79083,0.9430735773700754
0.6399999999999998,115993,79083,0.9475943940485608
0.6599999999999997,121264,79083,0.9475846368251837
0.6799999999999997,126536,79083,0.9482539427707474
0.6999999999999997,131809,79083,0.9491801188549394
